ödätzvoceyirtvd: 167 ms, dist=9
axkisdläptjqbvuoö (10)sxbghzhnqourbadavup: 151 ms, dist=13
sxbghzhnqourbadavup (13)bhymonqsnzxygyyukyo: 130 ms, dist=12
bhymonqsnzxygyyukyo (12)qhzdcdgszuvqjfäox: 135 ms, dist=11
qhzdcdgszuvqjfäox (11)cijotmjpvbhlfnkdad: 122 ms, dist=11
cijotmjpvbhlfnkdad (11)prvdöxostlnzxunaj: 117 ms, dist=10
prvdöxostlnzxunaj (10)vljyyboztåuijåfcxrzra: 140 ms, dist=14
vljyyboztåuijåfcxrzra (14)skägnystå: 46 ms, dist=2
skägnystå (2)snelonfehjngbbkcux: 128 ms, dist=11
snelonfehjngbbkcux (11)stozåqequå: 54 ms, dist=1
stozåqequå (1)tyjfyluhå: 48 ms, dist=1
tyjfyluhå (1)dåeåfcuypjhåqo: 111 ms, dist=8
dåeåfcuypjhåqo (8)cevönnijäc: 9 ms, dist=1
cevönnijäc (1)mzvjzåknygöfofnåte: 127 ms, dist=11
mzvjzåknygöfofnåte (11)disjejotuc: 13 ms, dist=1
disjejotuc (1)ayxdöiozikbzivaqi: 128 ms, dist=10
ayxdöiozikbzivaqi (10)xkivåhöll: 35 ms, dist=2
xkivåhöll (2)uvtphkmöuöyrayxtqaåbhp: 151 ms, dist=15
uvtphkmöuöyrayxtqaåbhp (15)fevejinä: 13 ms, dist=1
fevejinä (1)bntmzlgdikåaye: 119 ms, dist=8
bntmzlgdikåaye (8)onrllulocbjzyöigg: 119 ms, dist=10
onrllulocbjzyöigg (10)ngoskytjnöga: 36 ms, dist=2
ngoskytjnöga (2)volölpuxörr: 59 ms, dist=2
volölpuxörr (2)apengebyt: 31 ms, dist=1
apengebyt (1)oeyxvdtäianhqhfamjlzöj: 154 ms, dist=15
oeyxvdtäianhqhfamjlzöj (15)stökroa: 43 ms, dist=2
stökroa (2)loböååhqfpxgkvhbdqyzc: 143 ms, dist=14
loböååhqfpxgkvhbdqyzc (14)xäxsåegfuylgtpslozmt: 134 ms, dist=12
xäxsåegfuylgtpslozmt (12)szexmzocpnjepsykmjyb: 135 ms, dist=13
szexmzocpnjepsykmjyb (13)evpxhxedfåfsxöjidkpxlu: 146 ms, dist=15
evpxhxedfåfsxöjidkpxlu (15)binagv: 19 ms, dist=2
binagv (2)qapäniszkö: 31 ms, dist=1
qapäniszkö (1)qvenkxåfäuqvrchftj: 130 ms, dist=10
qvenkxåfäuqvrchftj (10)zjknåänbåryåbvxbcj: 130 ms, dist=11
zjknåänbåryåbvxbcj (11)ptosådzgfcfnöcoixgkå: 146 ms, dist=13
ptosådzgfcfnöcoixgkå (13)qiijuztcuklföoso: 114 ms, dist=9
qiijuztcuklföoso (9)fnalzuudököxhkeöhå: 131 ms, dist=11
fnalzuudököxhkeöhå (11)kvibeliz: 19 ms, dist=1
kvibeliz (1)ngåksujäse: 30 ms, dist=2
ngåksujäse (2)stapcöung: 50 ms, dist=2
stapcöung (2)nådogaögavslöölmxmgkh: 121 ms, dist=13
nådogaögavslöölmxmgkh (13)äövnrabdotlatöhafulgx: 152 ms, dist=14
äövnrabdotlatöhafulgx (14)ulsäbjlrvtcgxtgfashfok: 159 ms, dist=15
ulsäbjlrvtcgxtgfashfok (15)jällåsköbäi: 19 ms, dist=1
jällåsköbäi (1)tjjihå: 13 ms, dist=1
tjjihå (1)ajuxöno: 22 ms, dist=1
ajuxöno (1)ecrrözijå: 14 ms, dist=2
ecrrözijå (2)oulmzzbrqoeprhlfidnox: 148 ms, dist=14
oulmzzbrqoeprhlfidnox (14)qooxterlmgöhrk: 112 ms, dist=8
qooxterlmgöhrk (8)phlpäxxmbzqtnrnzöuxok: 154 ms, dist=14
phlpäxxmbzqtnrnzöuxok (14)äungdäziuqvzyl: 116 ms, dist=7
äungdäziuqvzyl (7)lijvjäböntuizsodgäsbna: 155 ms, dist=14
lijvjäböntuizsodgäsbna (14)lybkgöäiopatej: 109 ms, dist=7
lybkgöäiopatej (7)åioflfagfclcciq: 136 ms, dist=9
åioflfagfclcciq (9)CPU time for t1: 9139 ms
CPU time for t2: 77 ms
